"Subject","Language","Item","Trial","Score","RT","InferPattern","Type","Valid","Description"
1,"L2","audio/r24.wav",6,1,1.142122653,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visuospatial",1,"1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?"
1,"L2","audio/r21.wav",7,0,0.041729419,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visuospatial",0,"1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?"
1,"L2","audio/r19.wav",8,0,3.064222309,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visuospatial",0,"1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?"
1,"L2","audio/r9.wav",9,1,3.031539437,"1) A-r-B; 2) A-R-C; 3) C-r-B","Control",1,"1) ape-worse-dog; 2) ape-better-cat; 3) cat-worse-dog?"
1,"L2","audio/r13.wav",10,1,0.474892042,"1) A-r-C; 2) A-R-B; 3) C-r-B","Control",0,"1) ape-dumber-cat; 2) ape-smarter-dog; 3) cat-dumber-dog?"
1,"L2","audio/r8.wav",11,1,0.241226955,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visual",1,"1) dog-thinner-ape; 2) dog-fatter-cat; 3) cat-thinner-ape?"
1,"L2","audio/r11.wav",12,1,0.474625227,"1) C-r-B; 2) A-R-B; 3) A-r-C","Control",0,"1) cat-worse-dog; 2) ape-better-dog; 3) ape-worse-cat?"
1,"L2","audio/r14.wav",13,1,0.072912217,"1) C-r-A; 2) B-R-A; 3) B-r-C","Control",0,"1) cat-dumber-ape; 2) dog-smarter-ape; 3) dog-dumber-cat?"
1,"L2","audio/r6.wav",14,1,1.392935859,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visual",0,"1) cat-thinner-ape; 2) dog-fatter-ape; 3) dog-thinner-cat?"
1,"L2","audio/r5.wav",15,1,0.641166086,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visual",0,"1) ape-thinner-cat; 2) ape-fatter-dog; 3) cat-thinner-dog?"
1,"L2","audio/r4.wav",16,1,0.457795063,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visual",0,"1) dog-dirtier-cat; 2) dog-cleaner-ape; 3) cat-dirtier-ape?"
1,"L2","audio/r16.wav",17,1,0.892410903,"1) B-r-A; 2) B-R-C; 3) C-r-A","Control",1,"1) dog-dumber-ape; 2) dog-smarter-cat; 3) cat-dumber-ape?"
1,"L2","audio/r12.wav",18,1,-0.0412167,"1) B-r-C; 2) B-R-A; 3) C-r-A","Control",0,"1) dog-worse-cat; 2) dog-better-ape; 3) cat-worse-ape?"
1,"L2","audio/r18.wav",19,1,2.361869663,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visuospatial",1,"1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?"
1,"L2","audio/r17.wav",20,1,0.392322478,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visuospatial",1,"1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?"
1,"L2","audio/r2.wav",21,1,0.391082199,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visual",1,"1) dog-dirtier-ape; 2) cat-cleaner-ape; 3) dog-dirtier-cat?"
1,"L2","audio/r7.wav",22,1,4.750111586,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visual",1,"1) ape-thinner-dog; 2) cat-fatter-dog; 3) ape-thinner-cat?"
1,"L2","audio/r23.wav",23,0,3.749061573,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visuospatial",1,"1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?"
1,"L2","audio/r22.wav",24,1,0.291722051,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visuospatial",0,"1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?"
2,"L1","audio/n10.wav",1,0,3.694288624,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visual",1,"1) ape-thinner-dog; 2) cat-fatter-dog; 3) ape-thinner-cat?"
2,"L1","audio/n8.wav",2,0,5.465338191,"1) C-r-A; 2) B-R-A; 3) B-r-C","Control",0,"1) cat-dumber-ape; 2) dog-smarter-ape; 3) dog-dumber-cat?"
2,"L1","audio/n14.wav",3,1,4.1618075,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visual",1,"1) dog-dirtier-ape; 2) cat-cleaner-ape; 3) dog-dirtier-cat?"
2,"L1","audio/n18.wav",4,1,3.94502417,"1) A-r-B; 2) A-R-C; 3) C-r-B","Control",1,"1) ape-worse-dog; 2) ape-better-cat; 3) cat-worse-dog?"
2,"L1","audio/n5.wav",5,1,2.242452561,"1) B-r-A; 2) B-R-C; 3) C-r-A","Control",1,"1) dog-dumber-ape; 2) dog-smarter-cat; 3) cat-dumber-ape?"
2,"L1","audio/n16.wav",6,1,2.208433622,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visual",0,"1) cat-dirtier-dog; 2) ape-cleaner-dog; 3) ape-dirtier-cat?"
2,"L1","audio/n7.wav",7,1,7.735385221,"1) A-r-B; 2) C-R-B; 3) A-r-C","Control",1,"1) ape-dumber-dog; 2) cat-smarter-dog; 3) ape-dumber-cat?"
2,"L1","audio/n22.wav",8,1,3.343762275,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visuospatial",1,"1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?"
2,"L1","audio/n20.wav",9,1,1.505006914,"1) B-r-A; 2) C-R-A; 3) B-r-C","Control",1,"1) dog-worse-ape; 2) cat-better-ape; 3) dog-worse-cat?"
2,"L1","audio/n11.wav",10,1,4.094531643,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visual",1,"1) dog-thinner-ape; 2) dog-fatter-cat; 3) cat-thinner-ape?"
2,"L1","audio/n19.wav",11,1,2.375987722,"1) C-r-B; 2) A-R-B; 3) A-r-C","Control",0,"1) cat-worse-dog; 2) ape-better-dog; 3) ape-worse-cat?"
2,"L1","audio/n24.wav",12,1,1.908061686,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visuospatial",0,"1) dog-below-cat; 2) dog-above-ape; 3) cat-below-ape?"
2,"L1","audio/n15.wav",13,1,4.194926044,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visual",1,"1) ape-dirtier-dog; 2) ape-cleaner-cat; 3) cat-dirtier-dog?"
2,"L1","audio/n4.wav",14,1,4.779883946,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visuospatial",0,"1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?"
2,"L1","audio/n6.wav",15,1,5.547358199,"1) A-r-C; 2) A-R-B; 3) C-r-B","Control",0,"1) ape-dumber-cat; 2) ape-smarter-dog; 3) cat-dumber-dog?"
2,"L1","audio/n23.wav",16,1,2.476355861,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visuospatial",0,"1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?"
2,"L1","audio/n9.wav",17,1,3.311707931,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visual",0,"1) cat-thinner-ape; 2) dog-fatter-ape; 3) dog-thinner-cat?"
2,"L1","audio/n2.wav",18,0,4.830474566,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visuospatial",1,"1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?"
2,"L1","audio/n17.wav",19,1,2.723371286,"1) B-r-C; 2) B-R-A; 3) C-r-A","Control",0,"1) dog-worse-cat; 2) dog-better-ape; 3) cat-worse-ape?"
2,"L1","audio/n12.wav",20,1,4.980909958,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visual",0,"1) ape-thinner-cat; 2) ape-fatter-dog; 3) cat-thinner-dog?"
2,"L1","audio/n1.wav",21,0,2.656357971,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visuospatial",0,"1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?"
2,"L1","audio/n21.wav",22,1,2.275022672,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visuospatial",1,"1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?"
2,"L1","audio/n3.wav",23,1,3.07666739,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visuospatial",1,"1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?"
2,"L1","audio/n13.wav",24,0,3.159789953,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visual",0,"1) dog-dirtier-cat; 2) dog-cleaner-ape; 3) cat-dirtier-ape?"
2,"L2","audio/r6.wav",1,0,3.343950295,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visual",0,"1) cat-thinner-ape; 2) dog-fatter-ape; 3) dog-thinner-cat?"
2,"L2","audio/r22.wav",2,0,14.31804472,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visuospatial",0,"1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?"
2,"L2","audio/r18.wav",3,1,2.291408015,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visuospatial",1,"1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?"
2,"L2","audio/r11.wav",4,1,2.174631956,"1) C-r-B; 2) A-R-B; 3) A-r-C","Control",0,"1) cat-worse-dog; 2) ape-better-dog; 3) ape-worse-cat?"
2,"L2","audio/r20.wav",5,0,1.606895938,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visuospatial",0,"1) dog-below-cat; 2) dog-above-ape; 3) cat-below-ape?"
2,"L2","audio/r24.wav",6,1,2.391611747,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visuospatial",1,"1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?"
2,"L2","audio/r16.wav",7,1,1.673678573,"1) B-r-A; 2) B-R-C; 3) C-r-A","Control",1,"1) dog-dumber-ape; 2) dog-smarter-cat; 3) cat-dumber-ape?"
2,"L2","audio/r5.wav",8,0,1.841324549,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visual",0,"1) ape-thinner-cat; 2) ape-fatter-dog; 3) cat-thinner-dog?"
2,"L2","audio/r15.wav",9,0,0.955202185,"1) A-r-B; 2) C-R-B; 3) A-r-C","Control",1,"1) ape-dumber-dog; 2) cat-smarter-dog; 3) ape-dumber-cat?"
2,"L2","audio/r12.wav",10,1,3.009062528,"1) B-r-C; 2) B-R-A; 3) C-r-A","Control",0,"1) dog-worse-cat; 2) dog-better-ape; 3) cat-worse-ape?"
2,"L2","audio/r4.wav",11,1,0.887174177,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visual",0,"1) dog-dirtier-cat; 2) dog-cleaner-ape; 3) cat-dirtier-ape?"
2,"L2","audio/r3.wav",12,1,0.639362712,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visual",0,"1) cat-dirtier-dog; 2) ape-cleaner-dog; 3) ape-dirtier-cat?"
2,"L2","audio/r13.wav",13,1,0.972868748,"1) A-r-C; 2) A-R-B; 3) C-r-B","Control",0,"1) ape-dumber-cat; 2) ape-smarter-dog; 3) cat-dumber-dog?"
2,"L2","audio/r9.wav",14,1,1.288810082,"1) A-r-B; 2) A-R-C; 3) C-r-B","Control",1,"1) ape-worse-dog; 2) ape-better-cat; 3) cat-worse-dog?"
2,"L2","audio/r19.wav",15,1,1.138020686,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visuospatial",0,"1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?"
2,"L2","audio/r8.wav",16,0,0.504708467,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visual",1,"1) dog-thinner-ape; 2) dog-fatter-cat; 3) cat-thinner-ape?"
2,"L2","audio/r10.wav",17,1,0.670492598,"1) B-r-A; 2) C-R-A; 3) B-r-C","Control",1,"1) dog-worse-ape; 2) cat-better-ape; 3) dog-worse-cat?"
2,"L2","audio/r2.wav",18,1,1.054509375,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visual",1,"1) dog-dirtier-ape; 2) cat-cleaner-ape; 3) dog-dirtier-cat?"
2,"L2","audio/r21.wav",19,1,2.206965297,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visuospatial",0,"1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?"
2,"L2","audio/r23.wav",20,1,2.975746948,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visuospatial",1,"1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?"
2,"L2","audio/r14.wav",21,1,0.571641178,"1) C-r-A; 2) B-R-A; 3) B-r-C","Control",0,"1) cat-dumber-ape; 2) dog-smarter-ape; 3) dog-dumber-cat?"
2,"L2","audio/r7.wav",22,1,1.105583846,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visual",1,"1) ape-thinner-dog; 2) cat-fatter-dog; 3) ape-thinner-cat?"
2,"L2","audio/r17.wav",23,1,3.394900689,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visuospatial",1,"1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?"
2,"L2","audio/r1.wav",24,1,1.305958364,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visual",1,"1) ape-dirtier-dog; 2) ape-cleaner-cat; 3) cat-dirtier-dog?"
3,"L1","audio/n17.wav",1,1,1.756582207,"1) B-r-C; 2) B-R-A; 3) C-r-A","Control",0,"1) dog-worse-cat; 2) dog-better-ape; 3) cat-worse-ape?"
3,"L1","audio/n12.wav",2,0,8.40402707,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visual",0,"1) ape-thinner-cat; 2) ape-fatter-dog; 3) cat-thinner-dog?"
3,"L1","audio/n2.wav",3,1,0.889699875,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visuospatial",1,"1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?"
3,"L1","audio/n7.wav",4,1,1.707078503,"1) A-r-B; 2) C-R-B; 3) A-r-C","Control",1,"1) ape-dumber-dog; 2) cat-smarter-dog; 3) ape-dumber-cat?"
3,"L1","audio/n21.wav",5,1,2.873575073,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visuospatial",1,"1) ape-below-dog; 2) ape-above-cat; 3) cat-below-dog?"
3,"L1","audio/n23.wav",6,1,2.859901255,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visuospatial",0,"1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?"
3,"L1","audio/n20.wav",7,0,2.322993247,"1) B-r-A; 2) C-R-A; 3) B-r-C","Control",1,"1) dog-worse-ape; 2) cat-better-ape; 3) dog-worse-cat?"
3,"L1","audio/n8.wav",8,1,1.873524935,"1) C-r-A; 2) B-R-A; 3) B-r-C","Control",0,"1) cat-dumber-ape; 2) dog-smarter-ape; 3) dog-dumber-cat?"
3,"L1","audio/n19.wav",9,1,2.659231319,"1) C-r-B; 2) A-R-B; 3) A-r-C","Control",0,"1) cat-worse-dog; 2) ape-better-dog; 3) ape-worse-cat?"
3,"L1","audio/n15.wav",10,1,2.409242137,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visual",1,"1) ape-dirtier-dog; 2) ape-cleaner-cat; 3) cat-dirtier-dog?"
3,"L1","audio/n9.wav",11,1,5.278312049,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visual",0,"1) cat-thinner-ape; 2) dog-fatter-ape; 3) dog-thinner-cat?"
3,"L1","audio/n24.wav",12,1,2.223823995,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visuospatial",0,"1) dog-below-cat; 2) dog-above-ape; 3) cat-below-ape?"
3,"L1","audio/n10.wav",13,1,2.073832687,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visual",1,"1) ape-thinner-dog; 2) cat-fatter-dog; 3) ape-thinner-cat?"
3,"L1","audio/n22.wav",14,1,2.021917281,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visuospatial",1,"1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?"
3,"L1","audio/n4.wav",15,1,2.14224741,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visuospatial",0,"1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?"
3,"L1","audio/n11.wav",16,1,2.525305262,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visual",1,"1) dog-thinner-ape; 2) dog-fatter-cat; 3) cat-thinner-ape?"
3,"L1","audio/n3.wav",17,1,2.659495986,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visuospatial",1,"1) dog-behind-ape; 2) dog-in front of-cat; 3) cat-behind-ape?"
3,"L1","audio/n1.wav",18,1,3.37671081,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visuospatial",0,"1) cat-behind-ape; 2) dog-in front of-ape; 3) dog-behind-cat?"
3,"L1","audio/n13.wav",19,1,7.067595249,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visual",0,"1) dog-dirtier-cat; 2) dog-cleaner-ape; 3) cat-dirtier-ape?"
3,"L1","audio/n16.wav",20,1,2.659221584,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visual",0,"1) cat-dirtier-dog; 2) ape-cleaner-dog; 3) ape-dirtier-cat?"
3,"L1","audio/n18.wav",21,1,2.90896094,"1) A-r-B; 2) A-R-C; 3) C-r-B","Control",1,"1) ape-worse-dog; 2) ape-better-cat; 3) cat-worse-dog?"
3,"L1","audio/n14.wav",22,1,2.125198805,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visual",1,"1) dog-dirtier-ape; 2) cat-cleaner-ape; 3) dog-dirtier-cat?"
3,"L1","audio/n5.wav",23,1,1.841361782,"1) B-r-A; 2) B-R-C; 3) C-r-A","Control",1,"1) dog-dumber-ape; 2) dog-smarter-cat; 3) cat-dumber-ape?"
3,"L1","audio/n6.wav",24,1,1.221969622,"1) A-r-C; 2) A-R-B; 3) C-r-B","Control",0,"1) ape-dumber-cat; 2) ape-smarter-dog; 3) cat-dumber-dog?"
3,"L2","audio/r1.wav",1,1,0.770765937,"1) A-r-B; 2) A-R-C; 3) C-r-B","Visual",1,"1) ape-dirtier-dog; 2) ape-cleaner-cat; 3) cat-dirtier-dog?"
3,"L2","audio/r16.wav",2,1,2.32998259,"1) B-r-A; 2) B-R-C; 3) C-r-A","Control",1,"1) dog-dumber-ape; 2) dog-smarter-cat; 3) cat-dumber-ape?"
3,"L2","audio/r23.wav",3,1,2.375582161,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visuospatial",1,"1) ape-behind-dog; 2) cat-in front of-dog; 3) ape-behind-cat?"
3,"L2","audio/r12.wav",4,1,10.05817301,"1) B-r-C; 2) B-R-A; 3) C-r-A","Control",0,"1) dog-worse-cat; 2) dog-better-ape; 3) cat-worse-ape?"
3,"L2","audio/r10.wav",5,1,1.554047002,"1) B-r-A; 2) C-R-A; 3) B-r-C","Control",1,"1) dog-worse-ape; 2) cat-better-ape; 3) dog-worse-cat?"
3,"L2","audio/r11.wav",6,1,2.29111576,"1) C-r-B; 2) A-R-B; 3) A-r-C","Control",0,"1) cat-worse-dog; 2) ape-better-dog; 3) ape-worse-cat?"
3,"L2","audio/r2.wav",7,1,2.626576511,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visual",1,"1) dog-dirtier-ape; 2) cat-cleaner-ape; 3) dog-dirtier-cat?"
3,"L2","audio/r19.wav",8,1,1.974046323,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visuospatial",0,"1) cat-below-dog; 2) ape-above-dog; 3) ape-below-cat?"
3,"L2","audio/r15.wav",9,1,1.524349127,"1) A-r-B; 2) C-R-B; 3) A-r-C","Control",1,"1) ape-dumber-dog; 2) cat-smarter-dog; 3) ape-dumber-cat?"
3,"L2","audio/r21.wav",10,1,1.957993893,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visuospatial",0,"1) ape-behind-cat; 2) ape-in front of-dog; 3) cat-behind-dog?"
3,"L2","audio/r4.wav",11,1,6.935529827,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visual",0,"1) dog-dirtier-cat; 2) dog-cleaner-ape; 3) cat-dirtier-ape?"
3,"L2","audio/r8.wav",12,1,21.68345711,"1) B-r-A; 2) B-R-C; 3) C-r-A","Visual",1,"1) dog-thinner-ape; 2) dog-fatter-cat; 3) cat-thinner-ape?"
3,"L2","audio/r9.wav",13,0,19.82944413,"1) A-r-B; 2) A-R-C; 3) C-r-B","Control",1,"1) ape-worse-dog; 2) ape-better-cat; 3) cat-worse-dog?"
3,"L2","audio/r3.wav",14,1,1.505284231,"1) C-r-B; 2) A-R-B; 3) A-r-C","Visual",0,"1) cat-dirtier-dog; 2) ape-cleaner-dog; 3) ape-dirtier-cat?"
3,"L2","audio/r13.wav",15,1,1.390033794,"1) A-r-C; 2) A-R-B; 3) C-r-B","Control",0,"1) ape-dumber-cat; 2) ape-smarter-dog; 3) cat-dumber-dog?"
3,"L2","audio/r5.wav",16,1,1.924170182,"1) A-r-C; 2) A-R-B; 3) C-r-B","Visual",0,"1) ape-thinner-cat; 2) ape-fatter-dog; 3) cat-thinner-dog?"
3,"L2","audio/r18.wav",17,1,1.589837868,"1) B-r-A; 2) C-R-A; 3) B-r-C","Visuospatial",1,"1) dog-below-ape; 2) cat-above-ape; 3) dog-below-cat?"
3,"L2","audio/r20.wav",18,1,1.372382338,"1) B-r-C; 2) B-R-A; 3) C-r-A","Visuospatial",0,"1) dog-below-cat; 2) dog-above-ape; 3) cat-below-ape?"
3,"L2","audio/r14.wav",19,1,1.155165136,"1) C-r-A; 2) B-R-A; 3) B-r-C","Control",0,"1) cat-dumber-ape; 2) dog-smarter-ape; 3) dog-dumber-cat?"
3,"L2","audio/r7.wav",20,1,1.404200284,"1) A-r-B; 2) C-R-B; 3) A-r-C","Visual",1,"1) ape-thinner-dog; 2) cat-fatter-dog; 3) ape-thinner-cat?"
3,"L2","audio/r6.wav",21,0,7.06807823,"1) C-r-A; 2) B-R-A; 3) B-r-C","Visual",0,"1) cat-thinner-ape; 2) dog-fatter-ape; 3) dog-thinner-cat?"
